NCONF: 10000, ETOT(kcal/mol)= 9.96684,  Econf=  -3.4556,   Eprot= 5.29082,   EDebye=  0.272867,   W=  0,   Estr=  4.77,   Ebdn=  3.13375
NCONF: 20000, ETOT(kcal/mol)= 15.7074,  Econf=  -2.82454,   Eprot= 5.29082,   EDebye=  0,   W=  0,   Estr=  4.635,   Ebdn=  8.41375
NCONF: 30000, ETOT(kcal/mol)= 10.8292,  Econf=  -1.50876,   Eprot= 5.29082,   EDebye=  0.263342,   W=  0,   Estr=  2.55,   Ebdn=  4.27
NCONF: 40000, ETOT(kcal/mol)= 14.687,  Econf=  -1.65283,   Eprot= 5.29082,   EDebye=  0,   W=  0,   Estr=  4.41,   Ebdn=  6.225
NCONF: 50000, ETOT(kcal/mol)= 16.5346,  Econf=  -0.44656,   Eprot= 5.29082,   EDebye=  0.144415,   W=  0,   Estr=  7.095,   Ebdn=  4.21
NCONF: 60000, ETOT(kcal/mol)= 12.9129,  Econf=  -0.44656,   Eprot= 5.29082,   EDebye=  0.351143,   W=  0,   Estr=  2.46,   Ebdn=  5.2575
NCONF: 70000, ETOT(kcal/mol)= 10.6663,  Econf=  -2.82454,   Eprot= 5.29082,   EDebye=  0.157326,   W=  0,   Estr=  3.165,   Ebdn=  4.7025
NCONF: 80000, ETOT(kcal/mol)= 13.4207,  Econf=  -1.78946,   Eprot= 5.29082,   EDebye=  0,   W=  0,   Estr=  4.32,   Ebdn=  4.98875
NCONF: 90000, ETOT(kcal/mol)= 15.1505,  Econf=  -1.65284,   Eprot= 5.29082,   EDebye=  0.126617,   W=  0,   Estr=  6.27,   Ebdn=  4.74375
NCONF: 100000, ETOT(kcal/mol)= 17.4478,  Econf=  -2.82454,   Eprot= 5.29082,   EDebye=  0.167881,   W=  0,   Estr=  10.32,   Ebdn=  5.13375
NCONF: 110000, ETOT(kcal/mol)= 13.2989,  Econf=  -2.82454,   Eprot= 5.29082,   EDebye=  0.0785668,   W=  0,   Estr=  7.56,   Ebdn=  2.76125
NCONF: 120000, ETOT(kcal/mol)= 12.881,  Econf=  -2.23601,   Eprot= 5.29082,   EDebye=  0.347948,   W=  0,   Estr=  6.18,   Ebdn=  3.1125
NCONF: 130000, ETOT(kcal/mol)= 14.7751,  Econf=  -2.54384,   Eprot= 5.29082,   EDebye=  0.143698,   W=  0,   Estr=  2.04,   Ebdn=  9.67125
NCONF: 140000, ETOT(kcal/mol)= 20.8796,  Econf=  0.0271259,   Eprot= 5.29082,   EDebye=  0.140168,   W=  0,   Estr=  6.69,   Ebdn=  8.27375
NCONF: 150000, ETOT(kcal/mol)= 17.9597,  Econf=  -3.34035,   Eprot= 5.29082,   EDebye=  0.120002,   W=  0,   Estr=  5.58,   Ebdn=  10.23
NCONF: 160000, ETOT(kcal/mol)= 15.475,  Econf=  -2.54384,   Eprot= 5.29082,   EDebye=  0.146659,   W=  0,   Estr=  5.58,   Ebdn=  6.82375
NCONF: 170000, ETOT(kcal/mol)= 14.4192,  Econf=  -2.54384,   Eprot= 5.29082,   EDebye=  0.135122,   W=  0,   Estr=  6.225,   Ebdn=  5.405
NCONF: 180000, ETOT(kcal/mol)= 10.1317,  Econf=  -3.01752,   Eprot= 5.29082,   EDebye=  0,   W=  0,   Estr=  2.085,   Ebdn=  5.635
NCONF: 190000, ETOT(kcal/mol)= 11.78,  Econf=  -1.78946,   Eprot= 5.29082,   EDebye=  0.116962,   W=  0,   Estr=  4.635,   Ebdn=  3.39
NCONF: 200000, ETOT(kcal/mol)= 14.316,  Econf=  -1.78946,   Eprot= 5.29082,   EDebye=  0.2334,   W=  0,   Estr=  5.4,   Ebdn=  5.18125
NCONF: 210000, ETOT(kcal/mol)= 12.7643,  Econf=  -2.54384,   Eprot= 5.29082,   EDebye=  0.0843186,   W=  0,   Estr=  3.015,   Ebdn=  6.86125
NCONF: 220000, ETOT(kcal/mol)= 14.1672,  Econf=  -2.82454,   Eprot= 5.29082,   EDebye=  0.217129,   W=  0,   Estr=  5.235,   Ebdn=  6.24875
NCONF: 230000, ETOT(kcal/mol)= 12.3348,  Econf=  -2.54384,   Eprot= 5.29082,   EDebye=  0,   W=  0,   Estr=  4.98,   Ebdn=  4.51875
NCONF: 240000, ETOT(kcal/mol)= 10.8832,  Econf=  -2.54384,   Eprot= 5.29082,   EDebye=  0,   W=  0,   Estr=  3.105,   Ebdn=  4.95875
NCONF: 250000, ETOT(kcal/mol)= 14.7073,  Econf=  -2.82454,   Eprot= 5.29082,   EDebye=  0.179996,   W=  0,   Estr=  7.77,   Ebdn=  4.41
NCONF: 260000, ETOT(kcal/mol)= 14.4563,  Econf=  -0.165849,   Eprot= 5.29082,   EDebye=  0.122143,   W=  0,   Estr=  4.275,   Ebdn=  4.90625
NCONF: 270000, ETOT(kcal/mol)= 16.1329,  Econf=  -1.78946,   Eprot= 5.29082,   EDebye=  0.0860969,   W=  0,   Estr=  8.655,   Ebdn=  3.95125
NCONF: 280000, ETOT(kcal/mol)= 13.3679,  Econf=  -1.78946,   Eprot= 5.29082,   EDebye=  0.107406,   W=  0,   Estr=  5.595,   Ebdn=  3.99125
NCONF: 290000, ETOT(kcal/mol)= 13.3234,  Econf=  -0.75438,   Eprot= 5.29082,   EDebye=  0.152719,   W=  0,   Estr=  4.2,   Ebdn=  4.505
