-------------------
N_Bond MOV_SI/NO TOTAL
1  7787 17026 24813
2  11938 12413 24351
3  5957 3372 9329
4  1233 8281 9514
5  3837 5527 9364
6  2095 7185 9280
7  2466 7073 9539
8  3196 6442 9638
9  2406 6888 9294
10  2233 7087 9320
11  2833 6658 9491
12  2559 6666 9225
13  1832 7667 9499
14  3449 6055 9504
15  1946 7388 9334
16  2402 7076 9478
17  2618 6597 9215
18  2735 6594 9329
19  1782 7558 9340
20  3177 6296 9473
21  2326 7067 9393
22  1847 7604 9451
23  3000 6334 9334
24  2262 7146 9408
25  2121 7381 9502
26  2783 6637 9420
27  2576 6808 9384
28  2165 7312 9477
29  3100 6036 9136
30  2214 7287 9501
31  2127 7469 9596
32  3192 6205 9397
33  2309 7144 9453
34  2128 7357 9485
35  3050 6157 9207
36  2315 6879 9194
37  2353 7015 9368
38  3106 6197 9303
39  2557 6968 9525
40  1772 7487 9259
41  3433 5927 9360
42  2087 7246 9333
43  2250 7260 9510
44  2826 6538 9364
45  2737 6717 9454
46  1577 7719 9296
47  4281 5109 9390
48  1194 7905 9099
49  3393 6065 9458
-------------------
Configuracions MC acceptades:  28.8674
Configuracions analitzades per AVG 100,90,80,50: 10000 8901 7901 4901
AVG100%: r2= 702.632 s2= 97.1227 q= 1.8364 Cn= 6.37308  Lx = -0.0238048 L_pers= 5.52981 L_kuhn= 9.55962 Cov= 0.108024
AVG90%: r2= 698.957 s2= 96.5404 q= 1.84642 Cn= 6.33974  Lx = -0.0337974 L_pers= 5.50481 L_kuhn= 9.50962 Cov= 0.108613
AVG80%: r2= 687.916 s2= 95.3079 q= 1.84331 Cn= 6.2396  Lx = -0.0456222 L_pers= 5.4297 L_kuhn= 9.35941 Cov= 0.10843
AVG50%: r2= 675.273 s2= 93.4987 q= 1.78025 Cn= 6.12493  Lx = -0.0311245 L_pers= 5.3437 L_kuhn= 9.18739 Cov= 0.104721
% Rotation acceptance: 31.4296
% stretching and bending acceptance: 35.6269
% C-C in trans: 31.7027
% C-N in trans: 67.5123
% bonds in trans: 54.6472
Total average EDebye (kcal/mol): 0.0252982
Average EDebye increase in protonation/desprotonation: 0.0246888
